"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Dex-Net 1.0: A cloud-based network of 3D objects for robust grasp planning using a Multi-Armed Bandit model with correlated rewards","J. Mahler; F. T. Pokorny; B. Hou; M. Roderick; M. Laskey; M. Aubry; K. Kohlhoff; T. Kröger; J. Kuffner; K. Goldberg","University of California, Berkeley, USA; University of California, Berkeley, USA; University of California, Berkeley, USA; University of California, Berkeley, USA; University of California, Berkeley, USA; University of California, Berkeley, USA; Google Inc., Mountain View, USA; Google Inc., Mountain View, USA; Google Inc., Mountain View, USA; Google Inc., Mountain View, USA",2016 IEEE International Conference on Robotics and Automation (ICRA),"9 Jun 2016","2016","","","1957","1964","This paper presents the Dexterity Network (Dex-Net) 1.0, a dataset of 3D object models and a sampling-based planning algorithm to explore how Cloud Robotics can be used for robust grasp planning. The algorithm uses a Multi- Armed Bandit model with correlated rewards to leverage prior grasps and 3D object models in a growing dataset that currently includes over 10,000 unique 3D object models and 2.5 million parallel-jaw grasps. Each grasp includes an estimate of the probability of force closure under uncertainty in object and gripper pose and friction. Dex-Net 1.0 uses Multi-View Convolutional Neural Networks (MV-CNNs), a new deep learning method for 3D object classification, to provide a similarity metric between objects, and the Google Cloud Platform to simultaneously run up to 1,500 virtual cores, reducing experiment runtime by up to three orders of magnitude. Experiments suggest that correlated bandit techniques can use a cloud-based network of object models to significantly reduce the number of samples required for robust grasp planning. We report on system sensitivity to variations in similarity metrics and in uncertainty in pose and friction. Code and updated information is available at http://berkeleyautomation.github.io/dex-net/.","","978-1-4673-8026-3","10.1109/ICRA.2016.7487342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7487342","","Three-dimensional displays;Solid modeling;Robustness;Planning;Measurement;Force;Friction","","234","10","47","IEEE","9 Jun 2016","","","IEEE","IEEE Conferences"
"Automating multi-throw multilateral surgical suturing with a mechanical needle guide and sequential convex optimization","S. Sen; A. Garg; D. V. Gealy; S. McKinley; Y. Jen; K. Goldberg","EECS, University of California, Berkeley, CA, USA; IEOR & EECS, University of California, Berkeley, CA, USA; Mechanical Engineering, University of California, Berkeley, CA, USA; Mechanical Engineering, University of California, Berkeley, CA, USA; EECS, University of California, Berkeley, CA, USA; IEOR & EECS, University of California, Berkeley, CA, USA",2016 IEEE International Conference on Robotics and Automation (ICRA),"9 Jun 2016","2016","","","4178","4185","For supervised automation of multi-throw suturing in Robot-Assisted Minimally Invasive Surgery, we present a novel mechanical needle guide and a framework for optimizing needle size, trajectory, and control parameters using sequential convex programming. The Suture Needle Angular Positioner (SNAP) results in a 3x error reduction in the needle pose estimate in comparison with the standard actuator. We evaluate the algorithm and SNAP on a da Vinci Research Kit using tissue phantoms and compare completion time with that of humans from the JIGSAWS dataset [5]. Initial results suggest that the dVRK can perform suturing at 30% of human speed while completing 86% suture throws attempted. Videos and data are available at: berkeleyautomation.github.io/amts","","978-1-4673-8026-3","10.1109/ICRA.2016.7487611","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7487611","","Needles;Trajectory;Surgery;Actuators;Planning;Automation;Robots","","134","","36","IEEE","9 Jun 2016","","","IEEE","IEEE Conferences"
"TSC-DL: Unsupervised trajectory segmentation of multi-modal surgical demonstrations with Deep Learning","A. Murali; A. Garg; S. Krishnan; F. T. Pokorny; P. Abbeel; T. Darrell; K. Goldberg","EECS & IEOR, University of California, Berkeley, CA, USA; EECS & IEOR, University of California, Berkeley, CA, USA; EECS & IEOR, University of California, Berkeley, CA, USA; EECS & IEOR, University of California, Berkeley, CA, USA; EECS & IEOR, University of California, Berkeley, CA, USA; EECS & IEOR, University of California, Berkeley, CA, USA; EECS & IEOR, University of California, Berkeley, CA, USA",2016 IEEE International Conference on Robotics and Automation (ICRA),"9 Jun 2016","2016","","","4150","4157","The growth of robot-assisted minimally invasive surgery has led to sizable datasets of fixed-camera video and kinematic recordings of surgical subtasks. Segmentation of these trajectories into locally-similar contiguous sections can facilitate learning from demonstrations, skill assessment, and salvaging good segments from otherwise inconsistent demonstrations. Manual, or supervised, segmentation can be prone to error and impractical for large datasets. We present Transition State Clustering with Deep Learning (TSC-DL), a new unsupervised algorithm that leverages video and kinematic data for task-level segmentation, and finds regions of the visual feature space that correlate with transition events using features constructed from layers of pre-trained image classification Deep Convolutional Neural Networks (CNNs). We report results on three datasets comparing Deep Learning architectures (AlexNet and VGG), choice of convolutional layer, dimensionality reduction techniques, visual encoding, and the use of Scale Invariant Feature Transforms (SIFT). We find that the deep architectures extract features that result in up-to a 30.4% improvement in Silhouette Score (a measure of cluster tightness) over the traditional “shallow” features from SIFT. We also present cases where TSC-DL discovers human annotator omissions. Supplementary material, data and code is available at: http://berkeleyautomation.github.io/tsc-dl/","","978-1-4673-8026-3","10.1109/ICRA.2016.7487607","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7487607","","Visualization;Motion segmentation;Feature extraction;Hidden Markov models;Kinematics;Machine learning","","43","1","29","IEEE","9 Jun 2016","","","IEEE","IEEE Conferences"
"Reducing drift in visual odometry by inferring sun direction using a Bayesian Convolutional Neural Network","V. Peretroukhin; L. Clement; J. Kelly","Space & Terrestrial Autonomous Robotic Systems (STARS) laboratory at the University of Toronto Institute for Aerospace Studies (UTIAS), Canada; Space & Terrestrial Autonomous Robotic Systems (STARS) laboratory at the University of Toronto Institute for Aerospace Studies (UTIAS), Canada; Space & Terrestrial Autonomous Robotic Systems (STARS) laboratory at the University of Toronto Institute for Aerospace Studies (UTIAS), Canada",2017 IEEE International Conference on Robotics and Automation (ICRA),"24 Jul 2017","2017","","","2035","2042","We present a method to incorporate global orientation information from the sun into a visual odometry pipeline using only the existing image stream, where the sun is typically not visible. We leverage recent advances in Bayesian Convolutional Neural Networks to train and implement a sun detection model that infers a three-dimensional sun direction vector from a single RGB image. Crucially, our method also computes a principled uncertainty associated with each prediction, using a Monte Carlo dropout scheme. We incorporate this uncertainty into a sliding window stereo visual odometry pipeline where accurate uncertainty estimates are critical for optimal data fusion. Our Bayesian sun detection model achieves a median error of approximately 12 degrees on the KITTI odometry benchmark training set, and yields improvements of up to 42% in translational ARMSE and 32% in rotational ARMSE compared to standard VO. An open source implementation of our Bayesian CNN sun estimator (Sun-BCNN) using Caffe is available at https://github.com/utiasSTARS/sun-bcnn-vo.","","978-1-5090-4633-1","10.1109/ICRA.2017.7989235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7989235","","Sun;Bayes methods;Neural networks;Visualization;Pipelines;Training","","16","","31","IEEE","24 Jul 2017","","","IEEE","IEEE Conferences"
"PennCOSYVIO: A challenging Visual Inertial Odometry benchmark","B. Pfrommer; N. Sanket; K. Daniilidis; J. Cleveland","University of Pennsylvania School of Engineering and Applied Science; University of Pennsylvania School of Engineering and Applied Science; University of Pennsylvania School of Engineering and Applied Science; Cognitive Operational Systems, LLC",2017 IEEE International Conference on Robotics and Automation (ICRA),"24 Jul 2017","2017","","","3847","3854","We present PennCOSYVIO, a new challenging Visual Inertial Odometry (VIO) benchmark with synchronized data from a VI-sensor (stereo camera and IMU), two Project Tango hand-held devices, and three GoPro Hero 4 cameras. Recorded at UPenn's Singh center, the 150m long path of the hand-held rig crosses from outdoors to indoors and includes rapid rotations, thereby testing the abilities of VIO and Simultaneous Localization and Mapping (SLAM) algorithms to handle changes in lighting, different textures, repetitive structures, and large glass surfaces. All sensors are synchronized and intrinsically and extrinsically calibrated. We demonstrate the accuracy with which ground-truth poses can be obtained via optic localization off of fiducial markers. The data set can be found at https://daniilidis-group.github.io/penncosyvio/.","","978-1-5090-4633-1","10.1109/ICRA.2017.7989443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7989443","","Cameras;Benchmark testing;Visualization;Simultaneous localization and mapping;Global Positioning System;Calibration","","54","","32","IEEE","24 Jul 2017","","","IEEE","IEEE Conferences"
"Beyond Pixels: Leveraging Geometry and Shape Cues for Online Multi-Object Tracking","S. Sharma; J. A. Ansari; J. Krishna Murthy; K. Madhava Krishna","Robotics Research Center, KCIS, IIIT Hyderabad, India; Robotics Research Center, KCIS, IIIT Hyderabad, India; Robotics Research Center, KCIS, IIIT Hyderabad, India; Robotics Research Center, KCIS, IIIT Hyderabad, India",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","3508","3515","This paper introduces geometry and object shape and pose costs for multi-object tracking in urban driving scenarios. Using images from a monocular camera alone, we devise pairwise costs for object tracks, based on several 3D cues such as object pose, shape, and motion. The proposed costs are agnostic to the data association method and can be incorporated into any optimization framework to output the pairwise data associations. These costs are easy to implement, can be computed in real-time, and complement each other to account for possible errors in a tracking-by-detection framework. We perform an extensive analysis of the designed costs and empirically demonstrate consistent improvement over the state-of-the-art under varying conditions that employ a range of object detectors, exhibit a variety in camera and object motions, and, more importantly, are not reliant on the choice of the association framework. We also show that, by using the simplest of associations frameworks (two-frame Hungarian assignment), we surpass the state-of-the-art in multi-object-tracking on road scenes. More qualitative and quantitative results can be found at https://junaidcs032.github.io/Geometry_ObjectShape_MOT/.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8461018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8461018","","Three-dimensional displays;Shape;Target tracking;Roads;Trajectory;Cameras","","121","","26","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Relocalization, Global Optimization and Map Merging for Monocular Visual-Inertial SLAM","T. Qin; P. Li; S. Shen","Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong, China; Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong, China",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","1197","1204","The monocular visual-inertial system (VINS), which consists one camera and one low-cost inertial measurement unit (IMU), is a popular approach to achieve accurate 6-DOF state estimation. However, such locally accurate visual-inertial odometry is prone to drift and cannot provide absolute pose estimation. Leveraging history information to relocalize and correct drift has become a hot topic. In this paper, we propose a monocular visual-inertial SLAM system, which can relocalize camera and get the absolute pose in a previous-built map. Then 4-DOF pose graph optimization is performed to correct drifts and achieve global consistent. The 4-DOF contains x, y, z, and yaw angle, which is the actual drifted direction in the visual-inertial system. Furthermore, the proposed system can reuse a map by saving and loading it in an efficient way. Current map and previous map can be merged together by the global pose graph optimization. We validate the accuracy of our system on public datasets and compare against other state-of-the-art algorithms. We also evaluate the map merging ability of our system in the large-scale outdoor environment. The source code of map reuse is integrated into our public code, VINS-Monol11https://github.com/HKUST-Aerial-Robotics/VINS-Mono.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8460780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8460780","","Cameras;Optimization;Visualization;Feature extraction;Microsoft Windows;Simultaneous localization and mapping;Real-time systems","","43","","34","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Robust Dense Mapping for Large-Scale Dynamic Environments","I. A. Barsan; P. Liu; M. Pollefeys; A. Geiger","Computer Vision and Geometry Group, ETH Zurich, Switzerland; Computer Vision and Geometry Group, ETH Zurich, Switzerland; Computer Vision and Geometry Group, ETH Zurich, Switzerland; Computer Vision and Geometry Group, ETH Zurich, Switzerland",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","7510","7517","We present a stereo-based dense mapping algorithm for large-scale dynamic urban environments. In contrast to other existing methods, we simultaneously reconstruct the static background, the moving objects, and the potentially moving but currently stationary objects separately, which is desirable for high-level mobile robotic tasks such as path planning in crowded environments. We use both instance-aware semantic segmentation and sparse scene flow to classify objects as either background, moving, or potentially moving, thereby ensuring that the system is able to model objects with the potential to transition from static to dynamic, such as parked cars. Given camera poses estimated from visual odometry, both the background and the (potentially) moving objects are reconstructed separately by fusing the depth maps computed from the stereo input. In addition to visual odometry, sparse scene flow is also used to estimate the 3D motions of the detected moving objects, in order to reconstruct them accurately. A map pruning technique is further developed to improve reconstruction accuracy and reduce memory consumption, leading to increased scalability. We evaluate our system thoroughly on the well-known KITTI dataset. Our system is capable of running on a PC at approximately 2.5Hz, with the primary bottleneck being the instance-aware semantic segmentation, which is a limitation we hope to address in future work. The source code is available from the project websiteaahttp://andreibarsan.github.io/dynslam.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8462974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462974","","Three-dimensional displays;Cameras;Semantics;Vehicle dynamics;Dynamics;Real-time systems;Heuristic algorithms","","100","2","30","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Data-Efficient Decentralized Visual SLAM","T. Cieslewski; S. Choudhary; D. Scaramuzza","Dep. of Informatics, University of Zurich and ETH Zurich, Switzerland; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA; Dep. of Informatics, University of Zurich and ETH Zurich, Switzerland",2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","2466","2473","Decentralized visual simultaneous localization and mapping (SLAM) is a powerful tool for multi-robot applications in environments where absolute positioning is not available. Being visual, it relies on cheap, lightweight and versatile cameras, and, being decentralized, it does not rely on communication to a central entity. In this work, we integrate state-of-the-art decentralized SLAM components into a new, complete decentralized visual SLAM system. To allow for data association and optimization, existing decentralized visual SLAM systems exchange the full map data among all robots, incurring large data transfers at a complexity that scales quadratically with the robot count. In contrast, our method performs efficient data association in two stages: first, a compact full-image descriptor is deterministically sent to only one robot. Then, only if the first stage succeeded, the data required for relative pose estimation is sent, again to only one robot. Thus, data association scales linearly with the robot count and uses highly compact place representations. For optimization, a state-of-the-art decentralized pose-graph optimization method is used. It exchanges a minimum amount of data which is linear with trajectory overlap. We characterize the resulting system and identify bottlenecks in its components. The system is evaluated on publicly available datasets and we provide open access to the code. Supplementary Material Data and code are at: https://github.com/uzh-rpg/dslam_open.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8461155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8461155","","Simultaneous localization and mapping;Visualization;Optimization;Pose estimation;Trajectory;Bandwidth","","122","","44","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
"Time-Contrastive Networks: Self-Supervised Learning from Video","P. Sermanet; C. Lynch; Y. Chebotar; J. Hsu; E. Jang; S. Schaal; S. Levine; G. Brain",Google Brain; Google Brain; University of Southern California; Google Brain; Google Brain; University of Southern California; Google Brain; Google Brain,2018 IEEE International Conference on Robotics and Automation (ICRA),"13 Sep 2018","2018","","","1134","1141","We propose a self-supervised approach for learning representations and robotic behaviors entirely from unlabeled videos recorded from multiple viewpoints, and study how this representation can be used in two robotic imitation settings: imitating object interactions from videos of humans, and imitating human poses. Imitation of human behavior requires a viewpoint-invariant representation that captures the relationships between end-effectors (hands or robot grippers) and the environment, object attributes, and body pose. We train our representations using a triplet loss, where multiple simultaneous viewpoints of the same observation are attracted in the embedding space, while being repelled from temporal neighbors which are often visually similar but functionally different. This signal causes our model to discover attributes that do not change across viewpoint, but do change across time, while ignoring nuisance variables such as occlusions, motion blur, lighting and background. We demonstrate that this representation can be used by a robot to directly mimic human poses without an explicit correspondence, and that it can be used as a reward function within a reinforcement learning algorithm. While representations are learned from an unlabeled collection of task-related videos, robot behaviors such as pouring are learned by watching a single 3rd-person demonstration by a human. Reward functions obtained by following the human demonstrations under the learned representation enable efficient reinforcement learning that is practical for real-world robotic systems. Video results, open-source code and dataset are available at sermanet.github.io/imitate.","2577-087X","978-1-5386-3081-5","10.1109/ICRA.2018.8462891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462891","","Robots;Task analysis;Visualization;Learning (artificial intelligence);Training;Liquids;Lighting","","324","1","44","IEEE","13 Sep 2018","","","IEEE","IEEE Conferences"
