index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,github_url,github_code
0,Volumetric Mapping with Panoptic Refinement using Kernel Density Estimation for Mobile Robots,K. Nguyen; T. Dang; M. Huber,"Department of Computer Science and Engineering, Learning and Adaptive Robotics Laboratory, University of Texas at Arlington, Arlington, TX, USA; Department of Computer Science and Engineering, Learning and Adaptive Robotics Laboratory, University of Texas at Arlington, Arlington, TX, USA; Department of Computer Science and Engineering, Learning and Adaptive Robotics Laboratory, University of Texas at Arlington, Arlington, TX, USA",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,9824,9830,"Reconstructing three-dimensional (3D) scenes with semantic understanding is vital in many robotic applications. Robots need to identify which objects, along with their positions and shapes, to manipulate them precisely with given tasks. Mobile robots, especially, usually use lightweight networks to segment objects on RGB images and then localize them via depth maps; however, they often encounter out-of-distribution scenarios where masks over-cover the objects. In this paper, we address the problem of panoptic segmentation quality in 3D scene reconstruction by refining segmentation errors using non-parametric statistical methods. To enhance mask precision, we map the predicted masks into a depth frame to estimate their distribution via kernel densities. The outliers in depth perception are then rejected without the need for additional parameters in an adaptive manner to out-of-distribution scenarios, followed by 3D reconstruction using projective signed distance functions (SDFs). We validate our method on a synthetic dataset, which shows improvements in both quantitative and qualitative results for panoptic mapping. Through real-world testing, the results furthermore show our method’s capability to be deployed on a real-robot system. Our source code is available at: https://github.com/mkhangg/refined_panoptic_mapping.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10802224,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802224,,Image segmentation;Three-dimensional displays;Statistical analysis;Source coding;Semantics;Mobile robots;Kernel;Image reconstruction;Testing;Synthetic data,,,,37,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://github.com/mkhangg/refined_panoptic_mapping,https://github.com/mkhangg/refined_panoptic_mapping
1,Transcrib3D: 3D Referring Expression Resolution through Large Language Models,J. Fang; X. Tan; S. Lin; I. Vasiljevic; V. Guizilini; H. Mei; R. Ambrus; G. Shakhnarovich; M. R. Walter,Toyota Technological Institute at Chicago; Toyota Technological Institute at Chicago; Toyota Technological Institute at Chicago; Toyota Research Institute; Toyota Research Institute; Toyota Technological Institute at Chicago; Toyota Research Institute; Toyota Technological Institute at Chicago; Toyota Technological Institute at Chicago,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,9737,9744,"If robots are to work effectively alongside people, they must be able to interpret natural language references to objects in their 3D environment. Understanding 3D referring expressions is challenging—it requires the ability to both parse the 3D structure of the scene and correctly ground free-form language in the presence of distraction and clutter. We introduce Transcrib3D, an approach that brings together 3D detection methods and the emergent reasoning capabilities of large language models (LLMs). Transcrib3D uses text as the unifying medium, which allows us to sidestep the need to learn shared representations connecting multi-modal inputs, which would require massive amounts of annotated 3D data. As a demonstration of its effectiveness, Transcrib3D achieves state-of-the-art results on 3D reference resolution benchmarks, with a great leap in performance from previous multi-modality baselines. To improve upon zero-shot performance and facilitate local deployment on edge computers and robots, we propose self-correction for fine-tuning that trains smaller models, resulting in performance close to that of large models. We show that our method enables a real robot to perform pick-and-place tasks given queries that contain challenging referring expressions. Code will be available at https://ripl.github.io/Transcrib3D.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10802793,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802793,,Training;Computers;Three-dimensional displays;Grounding;Large language models;Computational modeling;Natural languages;Benchmark testing;Cognition;Intelligent robots,,,,43,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://ripl.github.io/Transcrib3D,https://github.com/ripl/Transcrib3D
2,V3D-SLAM: Robust RGB-D SLAM in Dynamic Environments with 3D Semantic Geometry Voting,T. Dang; K. Nguyen; M. Huber,"Department of Computer Science and Engineering, Learning and Adaptive Robotics Laboratory, University of Texas at Arlington, Arlington, TX, USA; Department of Computer Science and Engineering, Learning and Adaptive Robotics Laboratory, University of Texas at Arlington, Arlington, TX, USA; Department of Computer Science and Engineering, Learning and Adaptive Robotics Laboratory, University of Texas at Arlington, Arlington, TX, USA",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,7847,7853,"Simultaneous localization and mapping (SLAM) in highly dynamic environments is challenging due to the correlation complexity between moving objects and the camera pose. Many methods have been proposed to deal with this problem; however, the moving properties of dynamic objects with a moving camera remain unclear. Therefore, to improve SLAM’s performance, minimizing disruptive events of moving objects with a physical understanding of 3D shapes and dynamics of objects is needed. In this paper, we propose a robust method, V3D-SLAM, to remove moving objects via two lightweight reevaluation stages, including identifying potentially moving and static objects using a spatial-reasoned Hough voting mechanism and refining static objects by detecting dynamic noise caused by intra-object motions using Chamfer distances as similarity measurements. Through our experiment on the TUM RGB-D benchmark on dynamic sequences with ground-truth camera trajectories, the results show that our methods outperform most other recent state-of-the-art SLAM methods. Our source code is available at https://github.com/tuantdang/v3d-slam.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10801333,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801333,,Simultaneous localization and mapping;Three-dimensional displays;Source coding;Dynamics;Noise;Benchmark testing;Cameras;Feature extraction;Trajectory;Object recognition,,,,37,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://github.com/tuantdang/v3d-slam,https://github.com/tuantdang/v3d-slam
3,Robust Two-View Geometry Estimation with Implicit Differentiation,V. Pyatov; I. Koshelev; S. Lefkimmiatis,"Skolkovo Institute of Science and Technology (Skoltech), Center for AI Technology, Russia; AI Foundation and Algorithm Lab, Russia; MTS AI Group, Russia",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,11924,11931,"We present a novel two-view geometry estimation framework which is based on a differentiable robust loss function fitting. We propose to treat the robust fundamental matrix estimation as an implicit layer, which allows us to avoid backpropagation through time and significantly improves the numerical stability. To take full advantage of the information from the feature matching stage we incorporate learnable weights that depend on the matching confidences. In this way our solution brings together feature extraction, matching and two-view geometry estimation in a unified end-to-end trainable pipeline. We evaluate our approach on the camera pose estimation task in both outdoor and indoor scenarios. The experiments on several datasets show that the proposed method outperforms both classic and learning-based state-of- the-art methods by a large margin. The project webpage is available at: https://github.com/VladPyatov/ihls",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10801617,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801617,,Geometry;Backpropagation;Pose estimation;Robot vision systems;Pipelines;Fitting;Cameras;Feature extraction;Numerical stability;Intelligent robots,,,,55,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://github.com/VladPyatov/ihls,https://github.com/VladPyatov/ihls
4,Realistic Rainy Weather Simulation for LiDARs in CARLA Simulator,D. Yang; X. Cai; Z. Liu; W. Jiang; B. Zhang; G. Yan; X. Gao; S. Liu; B. Shi,Beihang University; Shanghai Artificial Intelligence Laboratory; Nankai University; Beihang University; Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory; Beihang University; Shanghai Artificial Intelligence Laboratory,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,951,957,"Data augmentation methods to enhance perception performance in adverse weather have recently attracted considerable attention. Most of the LiDAR data augmentation methods post-process the existing dataset by physics-based models or machine-learning methods. However, due to the limited environmental annotations and the fixed vehicle trajectories in existing datasets, it is challenging to edit the scene and expand the diversity of traffic flow and scenario. To this end, we propose a simulator-based physical modeling approach to augment LiDAR data in rainy weather, enhancing the performance of the perception model. We complete the modeling task of the rainy weather effect in the CARLA simulator and establish a data collection pipeline for LiDAR. Furthermore, we pay special attention to the spray generated by vehicles in rainy weather and simulate this phenomenon through the Spray Emitter method we developed. In addition, considering the influence of different weather conditions on point cloud intensity, we develop a prediction network to forecast the intensity of the LiDAR echo. This enables us to complete the rainy weather simulation of 4D point cloud data. In the experiment, we observe that the model augmented by our synthetic dataset improves the performance for 3D object detection in rainy weather. Both code and dataset are available at https://github.com/PJLab-ADG/PCSim#rainypcsim.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10802036,National Science and Technology Major Project; National Natural Science Foundation of China; Science and Technology Commission of Shanghai Municipality; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802036,,Point cloud compression;Laser radar;Pipelines;Weather forecasting;Data collection;Data augmentation;Data models;Trajectory;Meteorology;Synthetic data,,,,36,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://github.com/PJLab-ADG/PCSim,https://github.com/PJLab-ADG/PCSim
5,Learning Generalizable Manipulation Policy with Adapter-Based Parameter Fine-Tuning,K. Lu; K. T. Ly; W. Hebberd; K. Zhou; I. Havoutis; A. Markham,"Department of Computer Science, University of Oxford; Oxford Robotics Institute, University of Oxford, Oxford, UK; Oxford Robotics Institute, University of Oxford, Oxford, UK; Department of Computer Science, University of Oxford; Oxford Robotics Institute, University of Oxford, Oxford, UK; Department of Computer Science, University of Oxford",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,13510,13517,"This study investigates the use of adapters in reinforcement learning for robotic skill generalization across multiple robots and tasks. Traditional methods are typically reliant on robot-specific retraining and face challenges such as efficiency and adaptability, particularly when scaling to robots with varying kinematics. We propose an alternative approach where a disembodied (virtual) hand manipulator learns a task (i.e., an abstract skill) and then transfers it to various robots with different kinematic constraints without retraining the entire model (i.e., the concrete, physical implementation of the skill). Whilst adapters are commonly used in other domains with strong supervision available, we show how weaker feedback from robotic control can be used to optimize task execution by preserving the abstract skill dynamics whilst adapting to new robotic domains. We demonstrate the effectiveness of our method with experiments conducted in the SAPIEN ManiSkill environment, showing improvements in generalization and task success rates. All code, data, and additional videos are at this GitHub link: https://kl-research.github.io/genrob.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10801544,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801544,,Training;Hands;Adaptation models;Kinematics;Reinforcement learning;Manipulators;Robots;Intelligent robots;Videos;Software development management,,,,49,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://kl-research.github.io/genrob,
6,DiPPeST: Diffusion-based Path Planner for Synthesizing Trajectories Applied on Quadruped Robots,M. Stamatopoulou; J. Liu; D. Kanoulas,"Department of Computer Science, University College London, London, UK; Department of Computer Science, University College London, London, UK; Department of Computer Science, University College London, London, UK",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,7787,7793,"We present DiPPeST, a novel image and goal conditioned diffusion-based trajectory generator for quadrupedal robot path planning. DiPPeST is a zero-shot adaptation of our previously introduced diffusion-based 2D global trajectory generator (DiPPeR). The introduced system incorporates a novel strategy for local real-time path refinements, that is reactive to camera input, without requiring any further training, image processing, or environment interpretation techniques. DiPPeST achieves 92% success rate in obstacle avoidance for nominal environments and an average of 88% success rate when tested in environments that are up to 3.5 times more complex in pixel variation than DiPPeR. A visual-servoing framework is developed to allow for real-world execution, tested on the quadruped robot, achieving 80% success rate in different environments and showcasing improved behavior than complex state-of-the-art local planners, in narrow environments. Website: https://rpl-cs-ucl.github.io/DiPPeSTweb/",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10802677,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802677,,Training;Navigation;Robot vision systems;Noise reduction;Generators;Real-time systems;Trajectory;Planning;Quadrupedal robots;Visual odometry,,,,24,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://rpl-cs-ucl.github.io/DiPPeSTweb,
7,Depth Completion using Galerkin Attention,Y. Xu; X. Zhang,"School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China; School of Computer Science (National Pilot Software Engineering School), Beijing University of Posts and Telecommunications, Beijing, China",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,13269,13273,"Current depth completion methods usually employ a pair of calibrated RGB and depth sensors to reconstruct a dense depth map. Although RGB (dense) and depth (sparse) measurements are collected from the same underlying scene, they reflect different physical characteristics and thus it remains rather intricate how the devised RGB guidance scheme can effectively leads to a faithful depth recovery. Different from existing 3D geometry representations, such as point cloud, voxels or meshes, we propose to define 3D scenes as vector-valued functions, f : Ω ∋ (u, v) ↦ (r, g, b, d) ∈ ℝ4 , mapping from the image plane Ω to RGBD vectors. This scene function representation brings two benefits: 1) allowing for the adaptation of the Galerkin method to explore the nodal basis of the scene function space, and 2) transforming the irregularly scattered (X, Y, Z) points in the Euclidean space into the depth function defined over the regular grid in the image plane. We further leverage these two benefits within a deep neural network, characterized by an efficient Galerkin attention-based RGBD function embedding to effectively explore the interaction of color and depth information, and by the utilization of equivariant convolution operation on the RGBD feature map as efficient basic blocks. Experiments show that the proposed method achieves significant performance improvement over state-of-the-arts. Code at https://github.com/ZXS-Labs/DCGA.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10802287,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802287,,Point cloud compression;Geometry;Three-dimensional displays;Image color analysis;Sensor phenomena and characterization;Vectors;Encoding;Method of moments;Intelligent robots;Image reconstruction,,,,32,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://github.com/ZXS-Labs/DCGA,https://github.com/ZXS-Labs/DCGA
8,Perception-aware Full Body Trajectory Planning for Autonomous Systems using Motion Primitives,M. Kuhne; R. Giubilato; M. J. Schuster; M. A. Roa,"Institute of Robotics and Mechatronics, German Aerospace Center (DLR), Wessling, Germany; Institute of Robotics and Mechatronics, German Aerospace Center (DLR), Wessling, Germany; Institute of Robotics and Mechatronics, German Aerospace Center (DLR), Wessling, Germany; Institute of Robotics and Mechatronics, German Aerospace Center (DLR), Wessling, Germany",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,7765,7772,"Many robotic systems rely on visual sensing to accomplish simultaneously the tasks of state estimation, mapping, and path planning. One one hand, the usage of camera sensors represents a power-efficient and lightweight option for solving this problem. On the other hand, these tasks pose requirements on the quality of the visual input (e.g. number of tracked features for Visual Odometry) that are often in contrast to the optimal viewpoint planning for local mapping and obstacle avoidance. Dealing with this constraint is actively researched in the field of perception-aware planning. The approaches delivered by this field mostly concern Micro air vehicles (MAVs), but could be applied to a larger group of robotic systems. We propose a perception-aware trajectory planner for a class of robotic systems that can orient their cameras independently from their direction of travel. By using motion primitives, our planner does not require differentiable models for motion and perception objectives. We evaluate our method in simulation, showing increased capabilities in localization-aware motions around obstacles, and demonstrate its run-time capability on a real planetary rover. The code is released publicly under github.com/DLR-RM/palp.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10801381,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10801381,,Space vehicles;Visualization;Costs;Tracking;Robot vision systems;Cameras;Trajectory;Planning;State estimation;Robots,,,,24,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,https://github.com/DLR-RM/palp,https://github.com/DLR-RM/palp
9,LGMCTS: Language-Guided Monte-Carlo Tree Search for Executable Semantic Object Rearrangement,H. Chang; K. Gao; K. Boyalakuntla; A. Lee; B. Huang; J. Yu; A. Boularias,"Department of Computer Science, Rutgers University, New Brunswick, USA; Department of Computer Science, Rutgers University, New Brunswick, USA; Department of Computer Science, Rutgers University, New Brunswick, USA; Department of Computer Science, Rutgers University, New Brunswick, USA; Department of Computer Science, Rutgers University, New Brunswick, USA; Department of Computer Science, Rutgers University, New Brunswick, USA; Department of Computer Science, Rutgers University, New Brunswick, USA",2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),25 Dec 2024,2024,,,13607,13612,"We present LGMCTS, a framework that uniquely combines language guidance with geometrically informed sampling distributions to effectively rearrange objects according to geometric patterns dictated by natural language descriptions. LGMCTS uses Monte Carlo Tree Search (MCTS) to create feasible action plans that ensure executable semantic object rearrangement. We present a comprehensive comparison with leading approaches that use language to generate goal rearrangements independently of actionable planning, including Structformer, StructDiffusion, and Code as policies. We also present a new benchmark, the Executable Language Guided Rearrangement (ELGR) Bench, containing tasks involving intricate geometry. With the ELGR bench, we show limitations of task and motion planning (TAMP) solutions that are purely based on Large Language Models (LLM) such as Code as Policies and Progprompt on such tasks. Our findings advocate for using LLMs to generate intermediary representations rather than direct action planning in geometrically complex rearrangement scenarios, aligning with perspectives from recent literature. Our code and supplementary materials are accessible at https://lgmcts.github.io/.",2153-0866,979-8-3503-7770-5,10.1109/IROS58592.2024.10802562,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10802562,,Geometry;Codes;Monte Carlo methods;Large language models;Semantics;Natural languages;Benchmark testing;Search problems;Planning;Intelligent robots,,,,34,IEEE,25 Dec 2024,,,IEEE,IEEE Conferences,,
