index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,github_url,github_code
0,Depth-Based Efficient PnP: A Rapid and Accurate Method for Camera Pose Estimation,X. Xie; D. Zou,"Dalian University of Technology, Dalian, China; Harbin Institute of Technology, Harbin, China",IEEE Robotics and Automation Letters,19 Sep 2024,2024,9,11,9287,9294,"This letter presents a novel approach, DEPnP (Depth-based Efficient PnP), addressing the Perspective-n-Point (PnP) problem crucial in vision-based navigation and SLAM (Simultaneous Localization and Mapping) in robotics and automation, which estimates the pose of a calibrated camera by observing the 2D projections of known 3D points onto the camera image plane. The method employs eight variables to control the depth of control points and orientation of camera, formulating camera pose estimation as an optimization task. By optimizing these variables utilizing mean-subtracted rotation equations, rapid and accurate camera pose estimation is achieved. Notably, the careful selection of variables and objective function simplifies the computation of the Jacobian matrix, ensuring computational efficiency. DEPnP demonstrates robustness against noise and inlier disturbances, consistently delivering accurate camera pose estimation. Experimental evaluations validate the effectiveness and accuracy of DEPnP, positioning it as a competitive solution for real-time applications requiring precise camera pose estimation in robotics and automation. Our code has been open-sourced on GitHub.",2377-3766,,10.1109/LRA.2024.3438037,National Natural Science Foundation of China(grant numbers:62171075); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10621448,Optimization;perspective-n-point (PnP);real-time pose estimation;SLAM;vision-based navigation,Cameras;Accuracy;Uncertainty;Three-dimensional displays;Computational efficiency;Pose estimation;Robustness,,,,27,IEEE,2 Aug 2024,,,IEEE,IEEE Journals,,
1,Graph-Based SLAM-Aware Exploration With Prior Topo-Metric Information,R. Bai; H. Guo; W. -Y. Yau; L. Xie,"School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore; Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Robotics and Automation Letters,22 Jul 2024,2024,9,9,7597,7604,"Autonomous exploration requires a robot to explore an unknown environment while constructing an accurate map using Simultaneous Localization and Mapping (SLAM) techniques. Without prior information, the exploration performance is usually conservative due to the limited planning horizon. This letter exploits prior information about the environment, represented as a topo-metric graph, to benefit both the exploration efficiency and the pose graph reliability in SLAM. Based on the relationship between pose graph reliability and graph topology, we formulate a SLAM-aware path planning problem over the prior graph, which finds a fast exploration path enhanced with the globally informative loop-closing actions to stabilize the SLAM pose graph. A greedy algorithm is proposed to solve the problem, where theoretical thresholds are derived to significantly prune non-optimal loop-closing actions, without affecting the potential informative ones. Furthermore, we incorporate the proposed planner into a hierarchical exploration framework, with flexible features including path replanning, and online prior graph update that adds additional information to the prior graph. Simulation and real-world experiments indicate that the proposed method can reliably achieve higher mapping accuracy than compared methods when exploring environments with rich topologies, while maintaining comparable exploration efficiency. Our method has been open-sourced on GitHub.",2377-3766,,10.1109/LRA.2024.3420817,"National Research Foundation; Medium Sized Center for Advanced Robotics Technology Innovation(grant numbers:C221518004); Robotics HTCO, Agency for Science, Technology and Research; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10577228,Autonomous exploration;planning under uncertainty;Simultaneous Localization and Mapping (SLAM),Simultaneous localization and mapping;Reliability;Laplace equations;Uncertainty;Robot kinematics;Covariance matrices;Autonomous robots,,1.0,,26,IEEE,28 Jun 2024,,,IEEE,IEEE Journals,,
2,Sample-Efficient Learning-Based Dynamic Environment Navigation With Transferring Experience From Optimization-Based Planner,L. Huajian; D. Wei; M. Shouren; W. Chao; G. Yongzhuo,"State Key Laboratory of Robotics and System, Harbin Institute of Technology, Heilongjiang, China; State Key Laboratory of Robotics and System, Harbin Institute of Technology, Heilongjiang, China; State Key Laboratory of Robotics and System, Harbin Institute of Technology, Heilongjiang, China; State Key Laboratory of Robotics and System, Harbin Institute of Technology, Heilongjiang, China; State Key Laboratory of Robotics and System, Harbin Institute of Technology, Heilongjiang, China",IEEE Robotics and Automation Letters,28 Jun 2024,2024,9,8,7055,7062,"This letter presents a sample-efficient deep reinforcement learning (DRL) based method to address the intricate task of autonomous navigation in dynamic, constrained environments. The proposed method leverages a graph neural network with feature-wise linear modulation modules to effectively extract features from observations modeled as heterogeneous graph. By transferring offline model predictive control (MPC) experience data, which can be generated fully in parallel, the training process can be jump-started to cope with the sparse rewards. Simulation results demonstrate a 98% navigation success rate, surpassing baselines by at least 6%, while halving the training steps. Furthermore, we successfully deploy our policy network on a real robot and contribute our code to the community through open-sourcing: github.com/TIB-K330/drl_planner.",2377-3766,,10.1109/LRA.2024.3412610,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552894,Autonomous agents;autonomous vehicle naviga- tion;collision avoidance;reinforcement learning,Feature extraction;Navigation;Collision avoidance;Training;Robot kinematics;Vehicle dynamics;Autonomous agents;Autonomous vehicles;Reinforcement learning,,,,28,IEEE,11 Jun 2024,,,IEEE,IEEE Journals,https://github.com/TIB-K330/drl_planner,https://github.com/TIB-K330/drl_planner
3,LIV-GaussMap: LiDAR-Inertial-Visual Fusion for Real-Time 3D Radiance Field Map Rendering,S. Hong; J. He; X. Zheng; C. Zheng,"Department of Electronic Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; System Hub, The Hong Kong University of Science and Technology, Guangzhou, China; System Hub, The Hong Kong University of Science and Technology, Guangzhou, China; Department of Mechanical Engineering, The University of Hong Kong, Hong Kong, SAR, China",IEEE Robotics and Automation Letters,2 Oct 2024,2024,9,11,9765,9772,"We introduce an integrated precise LiDAR, Inertial, and Visual (LIV) multimodal sensor fused mapping system that builds on the differentiable Gaussians to improve the mapping fidelity, quality, and structural accuracy. Notably, this is also a novel form of tightly coupled map for LiDAR-visual-inertial sensor fusion. This system leverages the complementary characteristics of LiDAR and visual data to capture the geometric structures of large-scale 3D scenes and restore their visual surface information with high fidelity. The initialization for the scene's surface Gaussians and the sensor's poses of each frame are obtained using a LiDAR-inertial system with the feature of size-adaptive voxels. Then, we optimized and refined the Gaussians using visual-derived photometric gradients to optimize their quality and density. Our method is compatible with various types of LiDAR, including solid-state and mechanical LiDAR, supporting both repetitive and non-repetitive scanning modes. Bolstering structure construction through LiDAR and facilitating real-time generation of photorealistic renderings across diverse LIV datasets. It showcases notable resilience and versatility in generating real-time photorealistic scenes potentially for digital twins and virtual reality, while also holding potential applicability in real-time SLAM and robotics domains. We release our software and hardware and self-collected datasets on Github to benefit the community.",2377-3766,,10.1109/LRA.2024.3400149,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10529285,LiDAR;multi-sensor fusion;mapping;radiance field;3D gaussian splatting,Three-dimensional displays;Laser radar;Point cloud compression;Harmonic analysis;Visualization;Cloud computing;Simultaneous localization and mapping,,5.0,,28,IEEE,13 May 2024,,,IEEE,IEEE Journals,,
4,Understanding URDF: A Dataset and Analysis,D. Tola; P. Corke,"Department of Electrical and Computer Engineering, Aarhus University, Aarhus, Denmark; Centre for Robotics, Queensland University of Technology, Brisbane, QLD, Australia",IEEE Robotics and Automation Letters,3 Apr 2024,2024,9,5,4479,4486,"The complexity of robot systems is rising which makes it increasingly effective to simulate before deployment. To do this, a model of the robot's kinematics or dynamics is required, and the most commonly used format is the Unified Robot Description Format (URDF). This article presents the first dataset of URDF files with metadata and analysis. The dataset contains 322 URDF files from various industrial and research organizations, and the metadata describes each robot, its type, manufacturer, and the source of the model. The files correspond to 195 unique robot models – the excess URDFs correspond to either multiple definitions across sources, or URDF variants of the same robot. We analyze the files in the dataset and provide information on how they were generated, which mesh file types are most commonly used, and compare models of multiply-defined robots. The purpose of this article is to create foundational knowledge about URDF files, how they are created and used, and generate insight into the current state of the URDF format. Publishing the dataset, analysis, and the scripts and tools used enables others using, researching or developing URDFs to easily access this data and use it in their own work.",2377-3766,,10.1109/LRA.2024.3381482,Innovation Foundation Denmark; MADE FAST; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10478618,Simulation and animation;kinematics;software tools for benchmarking and reproducibility,Mathematical models;Collision avoidance;Visualization;Matlab;Kinematics;Service robots;Animation;Simulation;Robot kinematics;Benchmark testing;Reproducibility of results,,6.0,,25,IEEE,25 Mar 2024,,,IEEE,IEEE Journals,,
5,iG-LIO: An Incremental GICP-Based Tightly-Coupled LiDAR-Inertial Odometry,Z. Chen; Y. Xu; S. Yuan; L. Xie,"Provincial Key Laboratory of Intelligent Decision and Cooperative Control, School of Automation, Guangdong University of Technology, Guangzhou, China; Provincial Key Laboratory of Intelligent Decision and Cooperative Control, School of Automation, Guangdong University of Technology, Guangzhou, China; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Robotics and Automation Letters,16 Jan 2024,2024,9,2,1883,1890,"This work proposes an incremental Generalized Iterative Closest Point (GICP) based tightly-coupled LiDAR-inertial odometry (LIO), iG-LIO, which integrates the GICP constraints and inertial constraints into a unified estimation framework. iG-LIO uses a voxel-based surface covariance estimator to estimate the surface covariances of scans, and utilizes an incremental voxel map to represent the probabilistic models of surrounding environments. These methods successfully reduce the time consumption of the covariance estimation, nearest neighbor search, and map management. Extensive datasets collected from mechanical LiDARs and solid-state LiDARs are employed to evaluate the efficiency and accuracy of the proposed LIO. Even though iG-LIO keeps identical parameters across all datasets, the results show that it is more efficient than Faster-LIO while maintaining comparable accuracy with state-of-the-art LIO systems. The source code for iG-LIO has been open-sourced on GitHub: https://github.com/zijiechenrobotics/ig_lio.",2377-3766,,10.1109/LRA.2024.3349915,"National Natural Science Foundation of China(grant numbers:62121004); Natural Science Foundation of Guangdong Province, China(grant numbers:2021B1515420008); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10380742,SLAM;sensor fusion;LiDAR-inertial odometry,Odometry;Estimation;Laser radar;Measurement;Probabilistic logic;Indexes;Surface treatment,,6.0,,35,IEEE,4 Jan 2024,,,IEEE,IEEE Journals,https://github.com/zijiechenrobotics/ig_lio,https://github.com/zijiechenrobotics/ig_lio
6,Onboard Dynamic-Object Detection and Tracking for Autonomous Robot Navigation With RGB-D Camera,Z. Xu; X. Zhan; Y. Xiu; C. Suzuki; K. Shimada,"Department of Mechanical Engineering, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Mechanical Engineering, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Mechanical Engineering, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Mechanical Engineering, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Mechanical Engineering, Carnegie Mellon University, Pittsburgh, PA, USA",IEEE Robotics and Automation Letters,4 Dec 2023,2024,9,1,651,658,"Deploying autonomous robots in crowded indoor environments usually requires them to have accurate dynamic obstacle perception. Although plenty of previous works in the autonomous driving field have investigated the 3D object detection problem, the usage of dense point clouds from a heavy Light Detection and Ranging (LiDAR) sensor and their high computation cost for learning-based data processing make those methods not applicable to small robots, such as vision-based UAVs with small onboard computers. To address this issue, we propose a lightweight 3D dynamic obstacle detection and tracking (DODT) method based on an RGB-D camera, which is designed for low-power robots with limited computing power. Our method adopts a novel ensemble detection strategy, combining multiple computationally efficient but low-accuracy detectors to achieve real-time high-accuracy obstacle detection. Besides, we introduce a new feature-based data association and tracking method to prevent mismatches utilizing point clouds' statistical features. In addition, our system includes an optional and auxiliary learning-based module to enhance the obstacle detection range and dynamic obstacle identification. The proposed method is implemented in a small quadcopter, and the results show that our method can achieve the lowest position error (0.11 m) and a comparable velocity error (0.23 m/s) across the benchmarking algorithms running on the robot's onboard computer. The flight experiments prove that the tracking results from the proposed method can make the robot efficiently alter its trajectory for navigating dynamic environments. Our software is available on GitHub1 as an open-source ROS package.",2377-3766,,10.1109/LRA.2023.3334683,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10323166,RGB-D perception;vision-based navigation;visual tracking;3D object detection;collision avoidance,Detectors;Cameras;Three-dimensional displays;Point cloud compression;Robot vision systems;Heuristic algorithms;Robot vision systems;Collision avoidance,,10.0,,29,IEEE,20 Nov 2023,,,IEEE,IEEE Journals,,
7,VoxelMap++: Mergeable Voxel Mapping Method for Online LiDAR(-Inertial) Odometry,C. Wu; Y. You; Y. Yuan; X. Kong; Y. Zhang; Q. Li; K. Zhao,"Institute of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; XGRIDS, Shenzhen, China; Institute of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; Institute of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; Institute of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; Institute of Information and Communication Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; XGRIDS, Shenzhen, China",IEEE Robotics and Automation Letters,27 Nov 2023,2024,9,1,427,434,"This letter presents VoxelMap++: a voxel mapping method with plane merging which can effectively improve the accuracy and efficiency of LiDAR(-inertial) based simultaneous localization and mapping (SLAM). This map is a collection of voxels that contains one plane feature with 3DOF representation and corresponding covariance estimation. Considering map will contain a large number of coplanar features (kid planes), these kid planes' can be regarded as the measurements with covariance of a larger plane (father plane). Thus, we have designed a plane merging module based on the union-find. This merging module is capable of distinguishing co-plane relationship within various voxels, then merge these kid planes to estimate the father plane by minimizing the trace of covariance. After merging, the father plane exhibits more accurate compare to kids plane, with decreasing of uncertainty, which improve the accuracy of LiDAR(-inertial) odometry. Experiments on different environments demonstrate the superior of VoxelMap++ compared with other state-of-the-art methods (see our attached video). Our implementation is open-sourced on GitHub which is applicable for both non-repetitive scanning LiDARs and traditional scanning LiDAR.",2377-3766,,10.1109/LRA.2023.3333736,Science and Technology Project Fund of Sichuan Province(grant numbers:2018sz0364); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10321658,Mapping;union-find;localization;simultaneous localization and mapping (SLAM),Laser radar;Odometry;Merging;Estimation;Point cloud compression;Fitting;Robustness,,6.0,,25,IEEE,17 Nov 2023,,,IEEE,IEEE Journals,,
8,Integrated Planning and Control for Quadrotor Navigation in Presence of Suddenly Appearing Objects and Disturbances,W. Liu; Y. Ren; F. Zhang,"Department of Mechanical Engineering, University of Hong Kong, Hong Kong, Hong Kong; Department of Mechanical Engineering, University of Hong Kong, Hong Kong, Hong Kong; Department of Mechanical Engineering, University of Hong Kong, Hong Kong, Hong Kong",IEEE Robotics and Automation Letters,14 Dec 2023,2024,9,1,899,906,"Autonomous flight for quadrotors in environments with suddenly appearing objects and disturbances still faces significant challenges. In this work, we propose an integrated planning and control framework called IPC. Specifically, we design a framework consisting of a lightweight frontend and an MPC backend. On the frontend, we employ the A* algorithm to generate the reference path on a local map. On the backend, we model the trajectory planning and control problem as a linear model predictive control (MPC) problem. In the MPC formulation, the quadrotor is modeled as a high-order integral system (a linear system) to follow the reference path from the frontend. We use a series of convex polyhedrons (i.e., Safe Flight Corridor, SFC) to represent the free space in the environment and employ the multiple hyperplanes of the polyhedrons as a linear inequality constraint of the MPC problem to ensure flight safety. In this way, the linear MPC generates control actions that strictly meet the safety constraints in a short time ($2 \,\mathrm{ms}$-$3.5 \,\mathrm{ms}$). Then, the control actions of the linear MPC (i.e., jerk) are transformed to the actual control commands (i.e., angular velocity and throttle) through the differential flatness of the quadrotor. Since the MPC computes the control actions directly according to the obstacles and quadrotor's state at a rather high frequency (i.e., $100 \,\mathrm{Hz}$), it improves the quadrotor's response speed to dynamic obstacles and disturbance rejection ability to external disturbances. In simulation experiments involving avoiding a suddenly appearing object, our method outperforms state-of-the-art baselines in terms of success rate. Furthermore, we validate our method in real-world environments with dynamic objects and disturbances using a fully autonomous LiDAR-based quadrotor system, achieving autonomous navigation at velocities up to 5.86 m/s in dense forests. Our IPC is released as a ROS package on GitHub as open source software.",2377-3766,,10.1109/LRA.2023.3311358,Information Science Academy of China Electronics Technology Group Corporation(grant numbers:200010756); University Grants Committee of Hong Kong General Research Fund(grant numbers:17204523); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10238764,Aerial systems: Applications;collision avoidance;integrated planning and control,Quadrotors;Planning;Navigation;Collision avoidance;Laser radar;Autonomous aerial vehicles;Trajectory optimization,,5.0,,25,IEEE,4 Sep 2023,,,IEEE,IEEE Journals,,
9,PBACalib: Targetless Extrinsic Calibration for High-Resolution LiDAR-Camera System Based on Plane-Constrained Bundle Adjustment,F. Chen; L. Li; S. Zhang; J. Wu; L. Wang,"Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Mechanical Engineering, The University of Hong Kong, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology, Hong Kong, SAR, China",IEEE Robotics and Automation Letters,8 Dec 2022,2023,8,1,304,311,"The strategy of fusing multi-model data especially from cameras, light detection and ranging sensors (LiDAR), is frequently considered in robotics to enhance the performance of the perception and navigation tasks. Extrinsic calibration, which spatially aligns different sources into a unified coordinate representation, directly determines the performance of the combined data. In this letter, we propose PBACalib, a novel targetless extrinsic calibration algorithm aiming at the dense LiDAR-camera system based on the plane-constrained bundle adjustment (PBA). The proposed method utilizes the feature points derived from a prominent plane in the scene and iteratively minimizes the reprojection error. A maximum likelihood estimator (MLE) is designed by considering the uncertainty information of the measurements. Furthermore, we explore the distribution of collected data and characterize the robustness and solvability of the extrinsic estimates using a confidence factor. Simulation and real-world experiments both qualitatively and quantitatively demonstrate the robustness and accuracy of our method. The comparison experiments show that the proposed method outperforms another targetless method. To benefit the community, Matlab code has been publicly released on Github.",2377-3766,,10.1109/LRA.2022.3226026,Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2021B1515120032); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9968080,Bundle adjustment;high-resolution LiDAR;LiDAR-camera calibration;targetless extrinsic calibration,Calibration;Laser radar;Cameras;Sensors;Maximum likelihood estimation;Feature extraction;Bundle adjustment,,11.0,,25,IEEE,1 Dec 2022,,,IEEE,IEEE Journals,,
